Day,Day Length,
"Sat, Jan 1",07:51:17,
"Sun, Jan 2",07:52:33,
"Tue, Feb 1",09:08:58,
"Wed, Feb 2",09:12:27,
"Tue, Mar 1",10:56:11,
"Wed, Mar 2",11:00:15,
"Fri, Apr 1",13:03:03,
"Sat, Apr 2",13:07:08,
"Sun, May 1",15:00:53,
"Mon, May 2",15:04:32,
"Wed, Jun 1",16:32:59,
"Thu, Jun 2",16:34:55,
"Fri, Jul 1",16:47:56,
"Sat, Jul 2",16:46:49,
"Mon, Aug 1",15:35:44,
"Tue, Aug 2",15:32:26,
"Thu, Sep 1",13:40:52,
"Fri, Sep 2",13:36:55,
"Sat, Oct 1",11:40:10,
"Sun, Oct 2",11:36:08,
"Tue, Nov 1",09:38:35,
"Wed, Nov 2",09:34:55,
"Thu, Dec 1",08:07:07,
"Fri, Dec 2",08:05:03,
"Sun, Jan 1",07:51:01,
"Mon, Jan 2",07:52:13,
"Wed, Feb 1",09:08:07,
"Thu, Feb 2",09:11:35,
"Wed, Mar 1",10:55:12,
"Thu, Mar 2",10:59:15,
"Sat, Apr 1",13:02:05,
"Sun, Apr 2",13:06:09,
"Mon, May 1",14:59:59,
"Tue, May 2",15:03:39,
"Thu, Jun 1",16:32:31,
"Fri, Jun 2",16:34:28,
"Sat, Jul 1",16:48:11,
"Sun, Jul 2",16:47:06,
"Tue, Aug 1",15:36:32,
"Wed, Aug 2",15:33:14,
"Fri, Sep 1",13:41:50,
"Sat, Sep 2",13:37:53,
